filepath,gt_text,label,pii_type,source_type,transcript,stt_sec
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00000_spk01.wav,공일공 일팔이사 공사공구 으로 연락 주세요.,1,phone,positive,010-1824-0409으로 연락 주세요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00001_spk02.wav,제 주민등록번호는 삼일공사공오 일칠공구오칠공입니다.,1,rrn,positive,제 주민등록번호는 310405-1709-570입니다.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00002_spk03.wav,제 계좌번호는 칠공사 사사이 공삼삼삼이육입니다.,1,account,positive,제 계좌번호는 704442-033326입니다.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00003_spk04.wav,제 카드번호는 일오삼오 삼오팔이 삼팔일일 팔이칠구이에요.,1,card,positive,제 카드번호는 1535-3582-381-8279이에요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00004_spk05.wav,연락처는 공일공 공사삼사 구일구오이에요.,1,phone,positive,연락처는 010-0434-9195 이에요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00005_spk06.wav,구일일일이삼 사이삼일일사팔 가 제 주민등록번호입니다.,1,rrn,positive,91123-4231-148가 제 주민등록번호입니다.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00006_spk07.wav,제 계좌번호는 칠공삼 이구사 팔사팔칠사구입니다.,1,account,positive,제 계좌번호는 703-294-848749입니다.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00007_spk08.wav,카드번호는 이육일오 육구이사 오오칠사 사오오이입니다.,1,card,positive,카드번호는 2615-6924-5574-4552입니다.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00008_spk09.wav,제 전화번호는 공일공 삼오이칠 오오일사입니다.,1,phone,positive,제 전화번호는 010-3527-5514입니다.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00009_spk10.wav,본인 확인을 위해 일일공칠공사 삼팔팔팔육육이 불러드릴게요.,1,rrn,positive,본인 확인을 위해 110704-3888-662 불러드릴게요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00010_spk11.wav,제 계좌번호는 칠일팔 이팔공 팔사육삼삼오입니다.,1,account,positive,제 계좌번호는 칠 일 팔 이 팔 공 팔 사 육 삼 삼 오입니다,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00011_spk12.wav,카드번호는 칠오이칠 팔칠팔오 이공사오 육이공일입니다.,1,card,positive,카드번호는 7527-8785-2045-6201입니다.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00012_spk13.wav,문자는 공일공 구공사사 사팔공삼 으로 보내주세요.,1,phone,positive,문자는 010-9044-4803으로 보내주세요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00013_spk14.wav,주민번호는 사육일공공칠 일공사팔공오공이에요.,1,rrn,positive,주민번호는 4610071048050이에요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00014_spk01.wav,팔구일 삼공육 공팔삼육육칠 으로 입금해 주세요.,1,account,positive,891-306-083667으로 입금해 주세요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00015_spk02.wav,제 카드번호는 일육오사 육이이칠 사오오사 칠사이팔이에요.,1,card,positive,제 카드번호는 1654-6227-4554-7428이에요.,0.392
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00016_spk03.wav,공일공 오구칠칠 이육육사 으로 연락 주세요.,1,phone,positive,010-5977-2664으로 연락 주세요.,0.247
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00017_spk04.wav,제 주민등록번호는 사오공사이이 삼칠삼오구일일입니다.,1,rrn,positive,제 주민등록번호는 450422-373591입니다.,0.247
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00018_spk05.wav,칠이삼 육육공 일칠구사오일 으로 입금해 주세요.,1,account,positive,723-660-179451으로 입금해 주세요.,0.247
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00019_spk06.wav,제 카드번호는 이육칠칠 칠오칠삼 육이일육 사사이이이에요.,1,card,positive,제 카드번호는 2677-7573-6216-4422예요.,0.247
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00020_spk07.wav,공일공 구일이오 삼오구팔 으로 연락 주세요.,1,phone,positive,010-9125-3598으로 연락 주세요.,0.247
/home/hye0n/audio/cnn-based-audio-pii-classification/src/cnn/data_qwen/positive/output/positive_00021_spk08.wav,본인 확인을 위해 구팔공일공팔 일팔사사일오일 불러드릴게요.,1,rrn,positive,본인 확인을 위해 980108-1844151 불러드릴게요.,0.247
