filepath,label,source_type,speaker_id,template_id,duration,pii_type,value,text,is_outlier,prob
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00000_spk01.wav,0,negative_hard,spk01,date,5.36,,,고객님께 안내드립니다. 오늘은 이공이이년 오월 사일입니다.,False,0.55519038438797
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00036_spk09.wav,0,negative_hard,spk09,date,4.4,,,잠시 안내드립니다. 오늘은 이공이이년 구월 칠일입니다.,False,0.6808336973190308
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00040_spk13.wav,0,negative_hard,spk13,date,3.2,,,오늘은 이공이일년 사월 이사일입니다.,False,0.0750623345375061
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00051_spk10.wav,0,negative_hard,spk10,date,5.28,,,고객님께 안내드립니다. 오늘은 이공이육년 삼월 이이일입니다.,False,0.73017418384552
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00065_spk10.wav,0,negative_hard,spk10,date,5.12,,,오늘은 이공이이년 육월 이칠일입니다. 양해 부탁드립니다.,False,0.20981933176517487
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00077_spk08.wav,0,negative_hard,spk08,date,4.72,,,오늘은 이공이오년 일월 칠일입니다. 양해 부탁드립니다.,False,0.07097867876291275
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00081_spk12.wav,0,negative_hard,spk12,date,2.56,,,오늘은 이공이삼년 칠월 일사일입니다.,False,0.06419525295495987
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00085_spk02.wav,0,negative_hard,spk02,date,3.68,,,오늘은 이공이이년 팔월 이삼일입니다.,False,0.03810521960258484
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00086_spk03.wav,0,negative_hard,spk03,date,4.88,,,오늘은 이공이일년 육월 이공일입니다. 양해 부탁드립니다.,False,0.47814083099365234
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00092_spk09.wav,0,negative_hard,spk09,date,3.76,,,오늘은 이공이오년 육월 일삼일입니다.,False,0.07121985405683517
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00110_spk13.wav,0,negative_hard,spk13,date,2.96,,,오늘은 이공이사년 오월 일팔일입니다.,False,0.012982992455363274
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00117_spk06.wav,0,negative_hard,spk06,date,4.64,,,오늘은 이공이공년 일일월 일일일입니다. 양해 부탁드립니다.,False,0.2085103839635849
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00123_spk12.wav,0,negative_hard,spk12,date,4.48,,,안내 말씀드립니다. 오늘은 이공이일년 일월 오일입니다.,False,0.48235854506492615
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00142_spk03.wav,0,negative_hard,spk03,date,5.84,,,고객님께 안내드립니다. 오늘은 이공이일년 이월 구일입니다.,False,0.19857066869735718
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00149_spk10.wav,0,negative_hard,spk10,date,4.24,,,오늘은 이공이삼년 이월 구일입니다. 참고 부탁드립니다.,False,0.21764102578163147
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00172_spk05.wav,0,negative_hard,spk05,date,5.52,,,확인을 위해 알려드립니다. 오늘은 이공이육년 칠월 일칠일입니다.,False,0.3065628707408905
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00175_spk08.wav,0,negative_hard,spk08,date,3.12,,,오늘은 이공이오년 육월 이팔일입니다.,False,0.14241094887256622
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00221_spk12.wav,0,negative_hard,spk12,date,4.4,,,안내 말씀드립니다. 오늘은 이공이삼년 일공월 이이일입니다.,False,0.6514623165130615
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00252_spk01.wav,0,negative_hard,spk01,date,5.44,,,안내 말씀드립니다. 오늘은 이공이일년 삼월 이일입니다.,False,0.7814337611198425
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00254_spk03.wav,0,negative_hard,spk03,date,4.64,,,잠시 안내드립니다. 오늘은 이공이공년 칠월 육일입니다.,False,0.3929644227027893
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00262_spk11.wav,0,negative_hard,spk11,date,6.24,,,잠시 안내드립니다. 오늘은 이공이공년 일월 일오일입니다.,False,0.1907934844493866
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00266_spk01.wav,0,negative_hard,spk01,date,5.12,,,확인을 위해 알려드립니다. 오늘은 이공이오년 삼월 일육일입니다.,False,0.6421093940734863
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00277_spk12.wav,0,negative_hard,spk12,date,3.12,,,오늘은 이공이사년 오월 이일일입니다.,False,0.02088145725429058
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00311_spk04.wav,0,negative_hard,spk04,date,6.0,,,오늘은 이공이오년 이월 이공일입니다. 참고 부탁드립니다.,False,0.18593250215053558
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00315_spk08.wav,0,negative_hard,spk08,date,6.0,,,고객님께 안내드립니다. 오늘은 이공이오년 오월 이오일입니다.,False,0.33910226821899414
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00320_spk13.wav,0,negative_hard,spk13,date,5.28,,,잠시 안내드립니다. 오늘은 이공이삼년 이월 일칠일입니다.,False,0.5344120860099792
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00345_spk10.wav,0,negative_hard,spk10,date,4.72,,,오늘은 이공이일년 이월 이육일입니다. 감사합니다.,False,0.372209757566452
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00357_spk08.wav,0,negative_hard,spk08,date,4.96,,,안내 말씀드립니다. 오늘은 이공이삼년 일일월 일공일입니다.,False,0.695442795753479
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00361_spk12.wav,0,negative_hard,spk12,date,3.04,,,오늘은 이공이사년 일일월 일이일입니다.,False,0.059546615928411484
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00387_spk10.wav,0,negative_hard,spk10,date,4.96,,,고객님께 안내드립니다. 오늘은 이공이육년 오월 이칠일입니다.,False,0.5446674823760986
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00394_spk03.wav,0,negative_hard,spk03,date,4.64,,,잠시 안내드립니다. 오늘은 이공이이년 오월 일칠일입니다.,False,0.8847579956054688
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00412_spk07.wav,0,negative_hard,spk07,date,5.28,,,안내 말씀드립니다. 오늘은 이공이공년 일이월 이일입니다.,False,0.18762671947479248
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00429_spk10.wav,0,negative_hard,spk10,date,3.04,,,오늘은 이공이오년 일이월 일칠일입니다.,False,0.14962983131408691
/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_qwen/negative_hard/output/negative_hard_00436_spk03.wav,0,negative_hard,spk03,date,4.64,,,오늘은 이공이공년 이월 일일일입니다. 감사합니다.,False,0.5997932553291321
