filename,filepath,text,value,pii_type,gender,speaker_id,template_id,source_type,label,duration,n_digits,n_groups,max_run,frame,axis,prob_mean,prob_std,prob_ckpt_seq_indist_gru_cnn_s42,prob_ckpt_seq_indist_gru_cnn_s43,prob_ckpt_seq_indist_gru_cnn_s44,prob
probe_00000_spk01.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00000_spk01.wav,번호는 일공사삼입니다.,1043,,female,spk01,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.005217911209911108,0.0014660082051044965,0.003467390313744545,0.005131128244102001,0.007055215071886778,0.005217911209911108
probe_00001_spk02.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00001_spk02.wav,번호는 삼이일팔입니다.,3218,,male,spk02,probe_cont_4,probe,1,1.84,4,1,4,sentence,continuous,0.004095264167214434,0.0012801987317116693,0.0035400735214352608,0.005865235347300768,0.0028804836329072714,0.004095264167214434
probe_00002_spk03.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00002_spk03.wav,번호는 일구육공입니다.,1960,,female,spk03,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.005949144717305899,0.003067029396652177,0.004936151206493378,0.010108090937137604,0.0028031920082867146,0.005949144717305899
probe_00003_spk04.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00003_spk04.wav,번호는 공일삼삼입니다.,0133,,male,spk04,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.004759015437836449,0.0015924648032226195,0.003617736976593733,0.007011031731963158,0.0036482776049524546,0.004759015437836449
probe_00004_spk05.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00004_spk05.wav,번호는 팔구공팔입니다.,8908,,female,spk05,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.003486829809844494,0.001350152220655286,0.0030411439947783947,0.0053175874054431915,0.0021017580293118954,0.003486829809844494
probe_00005_spk06.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00005_spk06.wav,번호는 삼팔육삼입니다.,3863,,male,spk06,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.0016133609460666776,0.00022944035705847244,0.0016323575982823968,0.00188438652548939,0.001323338714428246,0.0016133609460666776
probe_00006_spk07.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00006_spk07.wav,번호는 칠구사공입니다.,7940,,female,spk07,probe_cont_4,probe,1,1.68,4,1,4,sentence,continuous,0.004436895561714967,0.0013480658966562341,0.0027320473454892635,0.006028266157954931,0.0045503731817007065,0.004436895561714967
probe_00007_spk08.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00007_spk08.wav,번호는 이육오사입니다.,2654,,male,spk08,probe_cont_4,probe,1,1.76,4,1,4,sentence,continuous,0.004953442451854547,0.0008348722053032,0.003921944182366133,0.004971671849489212,0.005966711323708296,0.004953442451854547
probe_00008_spk09.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00008_spk09.wav,번호는 이삼오일입니다.,2351,,female,spk09,probe_cont_4,probe,1,1.6,4,1,4,sentence,continuous,0.0052311184505621595,0.002030904740442858,0.0031761261634528637,0.007996318861842155,0.0045209103263914585,0.0052311184505621595
probe_00009_spk10.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00009_spk10.wav,번호는 일육일오입니다.,1615,,male,spk10,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.0031122233097751937,0.0008798194516644424,0.002533545484766364,0.004355486948043108,0.0024476374965161085,0.0031122233097751937
probe_00010_spk11.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00010_spk11.wav,번호는 오구사공입니다.,5940,,female,spk11,probe_cont_4,probe,1,2.4,4,1,4,sentence,continuous,0.0038665891624987125,0.0013381940104590666,0.0029469062574207783,0.005758835002779961,0.0028940262272953987,0.0038665891624987125
probe_00011_spk12.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00011_spk12.wav,번호는 칠팔일육입니다.,7816,,male,spk12,probe_cont_4,probe,1,1.68,4,1,4,sentence,continuous,0.0023360856963942447,0.0001725856401179302,0.002130004344508052,0.002552380785346031,0.0023258719593286514,0.0023360856963942447
probe_00012_spk13.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00012_spk13.wav,번호는 일팔사구입니다.,1849,,male,spk13,probe_cont_4,probe,1,1.76,4,1,4,sentence,continuous,0.002907457140584787,0.0006090864797567595,0.002060258761048317,0.0034658550284802914,0.003196257632225752,0.002907457140584787
probe_00013_spk14.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00013_spk14.wav,번호는 오구삼일입니다.,5931,,female,spk14,probe_cont_4,probe,1,1.92,4,1,4,sentence,continuous,0.0027497075498104095,0.0006122065689977618,0.0026318305172026157,0.003551461035385728,0.002065831096842885,0.0027497075498104095
probe_00014_spk01.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00014_spk01.wav,번호는 공삼사일입니다.,0341,,female,spk01,probe_cont_4,probe,1,2.16,4,1,4,sentence,continuous,0.005158080952242017,0.001568052432340243,0.0032533372286707163,0.007093888707458973,0.005127016920596361,0.005158080952242017
probe_00015_spk02.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00015_spk02.wav,번호는 삼일육사입니다.,3164,,male,spk02,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.005699296869958441,0.0020346476697082785,0.0033006102312356234,0.008275017142295837,0.005522263236343861,0.005699296869958441
probe_00016_spk03.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00016_spk03.wav,번호는 칠오이오입니다.,7525,,female,spk03,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.002601237424338857,0.0006040142097142584,0.0020765401422977448,0.0034473405685275793,0.002279831562191248,0.002601237424338857
probe_00017_spk04.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00017_spk04.wav,번호는 오삼사일입니다.,5341,,male,spk04,probe_cont_4,probe,1,1.6,4,1,4,sentence,continuous,0.004904030977437894,0.0015022218483431615,0.0029230285435914993,0.005229906179010868,0.006559158209711313,0.004904030977437894
probe_00018_spk05.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00018_spk05.wav,번호는 구이팔삼입니다.,9283,,female,spk05,probe_cont_4,probe,1,1.92,4,1,4,sentence,continuous,0.002603901860614618,0.0004941764124374238,0.0021338430233299732,0.003286814084276557,0.002391048474237323,0.002603901860614618
probe_00019_spk06.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00019_spk06.wav,번호는 이칠육사입니다.,2764,,male,spk06,probe_cont_4,probe,1,2.88,4,1,4,sentence,continuous,0.0031534955681612096,0.00047760066262792915,0.0028089829720556736,0.0028226247522979975,0.003828878980129957,0.0031534955681612096
probe_00020_spk07.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00020_spk07.wav,번호는 팔삼오공입니다.,8350,,female,spk07,probe_cont_4,probe,1,1.76,4,1,4,sentence,continuous,0.007606226718053222,0.0048008291059077265,0.003593433415517211,0.014355518855154514,0.00486972788348794,0.007606226718053222
probe_00021_spk08.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00021_spk08.wav,번호는 삼공오육입니다.,3056,,male,spk08,probe_cont_4,probe,1,1.92,4,1,4,sentence,continuous,0.005745226129268606,0.002223541313352773,0.0027007663156837225,0.007949110120534897,0.0065858019515872,0.005745226129268606
probe_00022_spk09.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00022_spk09.wav,번호는 사일삼구입니다.,4139,,female,spk09,probe_cont_4,probe,1,1.6,4,1,4,sentence,continuous,0.0049262808946271735,0.0014009905205916882,0.006549665704369545,0.005098269321024418,0.0031309076584875584,0.0049262808946271735
probe_00023_spk10.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00023_spk10.wav,번호는 오삼칠육입니다.,5376,,male,spk10,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.003826295336087545,0.0007866593088608382,0.0032195006497204304,0.004937219433486462,0.0033221659250557423,0.003826295336087545
probe_00024_spk11.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00024_spk11.wav,번호는 칠이사이입니다.,7242,,female,spk11,probe_cont_4,probe,1,2.96,4,1,4,sentence,continuous,0.0029419669105360904,4.531639743423743e-05,0.0029454315081238747,0.0028848147485405207,0.0029956544749438763,0.0029419669105360904
