filename,filepath,text,value,pii_type,gender,speaker_id,template_id,source_type,label,duration,n_digits,n_groups,max_run,frame,axis,prob_mean,prob_std,prob_ckpt_seq_indist_gru_cnn_hires_s42,prob_ckpt_seq_indist_gru_cnn_hires_s43,prob_ckpt_seq_indist_gru_cnn_hires_s44,prob
probe_00000_spk01.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00000_spk01.wav,번호는 일공사삼입니다.,1043,,female,spk01,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.0025038112265368304,0.0004274972998382917,0.002873779507353902,0.0019047334790229797,0.002732920693233609,0.0025038112265368304
probe_00001_spk02.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00001_spk02.wav,번호는 삼이일팔입니다.,3218,,male,spk02,probe_cont_4,probe,1,1.84,4,1,4,sentence,continuous,0.0030062415171414614,0.00045729896357412844,0.0023630058858543634,0.003269812325015664,0.0033859063405543566,0.0030062415171414614
probe_00002_spk03.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00002_spk03.wav,번호는 일구육공입니다.,1960,,female,spk03,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.0039376515584687395,0.0020175960871076357,0.0027527043130248785,0.006778005510568619,0.0022822448518127203,0.0039376515584687395
probe_00003_spk04.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00003_spk04.wav,번호는 공일삼삼입니다.,0133,,male,spk04,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.0025442016776651144,9.667055319433258e-05,0.002631456358358264,0.0024094274267554283,0.002591721247881651,0.0025442016776651144
probe_00004_spk05.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00004_spk05.wav,번호는 팔구공팔입니다.,8908,,female,spk05,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.0018395956916113694,0.0002784401438952949,0.002094941446557641,0.001971523044630885,0.0014523225836455822,0.0018395956916113694
probe_00005_spk06.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00005_spk06.wav,번호는 삼팔육삼입니다.,3863,,male,spk06,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.0011674874695017934,0.00021476632617743372,0.0014577516121789813,0.0010997951030731201,0.0009449156932532787,0.0011674874695017934
probe_00006_spk07.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00006_spk07.wav,번호는 칠구사공입니다.,7940,,female,spk07,probe_cont_4,probe,1,1.68,4,1,4,sentence,continuous,0.002331312745809555,0.0005436979237537302,0.0024056769907474518,0.0016313609667122364,0.002956900279968977,0.002331312745809555
probe_00007_spk08.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00007_spk08.wav,번호는 이육오사입니다.,2654,,male,spk08,probe_cont_4,probe,1,1.76,4,1,4,sentence,continuous,0.0034006506903097034,0.0013327015977494879,0.0037484606727957726,0.001622560084797442,0.0048309313133358955,0.0034006506903097034
probe_00008_spk09.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00008_spk09.wav,번호는 이삼오일입니다.,2351,,female,spk09,probe_cont_4,probe,1,1.6,4,1,4,sentence,continuous,0.0021213506115600467,0.0004152554009343655,0.0017845883267000318,0.0018730796873569489,0.0027063838206231594,0.0021213506115600467
probe_00009_spk10.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00009_spk10.wav,번호는 일육일오입니다.,1615,,male,spk10,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.0016009039633596938,1.926439232181396e-05,0.001626732642762363,0.001595495268702507,0.001580483978614211,0.0016009039633596938
probe_00010_spk11.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00010_spk11.wav,번호는 오구사공입니다.,5940,,female,spk11,probe_cont_4,probe,1,2.4,4,1,4,sentence,continuous,0.001903542938331763,0.00024567305949777933,0.0022292262874543667,0.0018454898381605744,0.0016359126893803477,0.001903542938331763
probe_00011_spk12.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00011_spk12.wav,번호는 칠팔일육입니다.,7816,,male,spk12,probe_cont_4,probe,1,1.68,4,1,4,sentence,continuous,0.0014517555246129632,5.7500110375351045e-05,0.0015295809134840965,0.0013924271333962679,0.0014332585269585252,0.0014517555246129632
probe_00012_spk13.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00012_spk13.wav,번호는 일팔사구입니다.,1849,,male,spk13,probe_cont_4,probe,1,1.76,4,1,4,sentence,continuous,0.00367394438944757,0.0016038667548335071,0.0019984235987067223,0.0031876747962087393,0.005835734773427248,0.00367394438944757
probe_00013_spk14.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00013_spk14.wav,번호는 오구삼일입니다.,5931,,female,spk14,probe_cont_4,probe,1,1.92,4,1,4,sentence,continuous,0.0019383064548795421,0.0002889924033411666,0.002314433455467224,0.001611782587133348,0.0018887033220380545,0.0019383064548795421
probe_00014_spk01.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00014_spk01.wav,번호는 공삼사일입니다.,0341,,female,spk01,probe_cont_4,probe,1,2.16,4,1,4,sentence,continuous,0.0021413807990029454,0.00039184288324831384,0.001983520109206438,0.001760288025252521,0.002680334262549877,0.0021413807990029454
probe_00015_spk02.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00015_spk02.wav,번호는 삼일육사입니다.,3164,,male,spk02,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.003539445266748468,0.00010272393098050457,0.003458545543253422,0.003475397592410445,0.0036843926645815372,0.003539445266748468
probe_00016_spk03.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00016_spk03.wav,번호는 칠오이오입니다.,7525,,female,spk03,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.0020807943462083736,0.00039759023166270645,0.0019993598107248545,0.002603324130177498,0.0016396990977227688,0.0020807943462083736
probe_00017_spk04.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00017_spk04.wav,번호는 오삼사일입니다.,5341,,male,spk04,probe_cont_4,probe,1,1.6,4,1,4,sentence,continuous,0.003073121227013568,0.0017925393698072732,0.002124374732375145,0.0015116393333300948,0.0055833496153354645,0.003073121227013568
probe_00018_spk05.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00018_spk05.wav,번호는 구이팔삼입니다.,9283,,female,spk05,probe_cont_4,probe,1,1.92,4,1,4,sentence,continuous,0.001687974319793284,0.00012808112873170842,0.0015733473701402545,0.0018667483236640692,0.0016238272655755281,0.001687974319793284
probe_00019_spk06.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00019_spk06.wav,번호는 이칠육사입니다.,2764,,male,spk06,probe_cont_4,probe,1,2.88,4,1,4,sentence,continuous,0.0020861258575071893,0.00024254390766747315,0.002358033787459135,0.0017690893728286028,0.0021312544122338295,0.0020861258575071893
probe_00020_spk07.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00020_spk07.wav,번호는 팔삼오공입니다.,8350,,female,spk07,probe_cont_4,probe,1,1.76,4,1,4,sentence,continuous,0.0044616876014818745,0.0017982692780087032,0.0029247538186609745,0.003475436707958579,0.006984872277826071,0.0044616876014818745
probe_00021_spk08.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00021_spk08.wav,번호는 삼공오육입니다.,3056,,male,spk08,probe_cont_4,probe,1,1.92,4,1,4,sentence,continuous,0.004841545131057501,0.0024693881131435673,0.003357446286827326,0.002845912240445614,0.008321276865899563,0.004841545131057501
probe_00022_spk09.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00022_spk09.wav,번호는 사일삼구입니다.,4139,,female,spk09,probe_cont_4,probe,1,1.6,4,1,4,sentence,continuous,0.002582836508130034,0.0005379167544767051,0.002219664165750146,0.002185534918680787,0.0033433104399591684,0.002582836508130034
probe_00023_spk10.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00023_spk10.wav,번호는 오삼칠육입니다.,5376,,male,spk10,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.002002264761055509,0.0002567810544771857,0.002300326945260167,0.0016735841054469347,0.002032883232459426,0.002002264761055509
probe_00024_spk11.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00024_spk11.wav,번호는 칠이사이입니다.,7242,,female,spk11,probe_cont_4,probe,1,2.96,4,1,4,sentence,continuous,0.001956845517270267,8.834479439881644e-05,0.0020350725390017033,0.0018333661137148738,0.002002097899094224,0.001956845517270267
