filename,filepath,text,value,pii_type,gender,speaker_id,template_id,source_type,label,duration,n_digits,n_groups,max_run,frame,axis,prob_mean,prob_std,prob_ckpt_seq_indist_attn_cnn_s42,prob_ckpt_seq_indist_attn_cnn_s43,prob_ckpt_seq_indist_attn_cnn_s44,prob
probe_00000_spk01.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00000_spk01.wav,번호는 일공사삼입니다.,1043,,female,spk01,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.01270394865423441,0.004325200226517671,0.018238810822367668,0.007681520655751228,0.012191514484584332,0.01270394865423441
probe_00001_spk02.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00001_spk02.wav,번호는 삼이일팔입니다.,3218,,male,spk02,probe_cont_4,probe,1,1.84,4,1,4,sentence,continuous,0.011662520778675875,0.0023432182314518913,0.012187696993350983,0.00856635719537735,0.01423350814729929,0.011662520778675875
probe_00002_spk03.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00002_spk03.wav,번호는 일구육공입니다.,1960,,female,spk03,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.009405474023272594,0.0034573284591234363,0.014077791012823582,0.005821609403938055,0.008317021653056145,0.009405474023272594
probe_00003_spk04.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00003_spk04.wav,번호는 공일삼삼입니다.,0133,,male,spk04,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.010310792519400517,0.0033760214747113816,0.012738374061882496,0.005536606069654226,0.01265739742666483,0.010310792519400517
probe_00004_spk05.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00004_spk05.wav,번호는 팔구공팔입니다.,8908,,female,spk05,probe_cont_4,probe,1,2.0,4,1,4,sentence,continuous,0.006590610059599082,0.0019490278311601297,0.00800953060388565,0.003834674134850502,0.007927625440061092,0.006590610059599082
probe_00005_spk06.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00005_spk06.wav,번호는 삼팔육삼입니다.,3863,,male,spk06,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.0055180542015781,0.0014595775243824497,0.007047366350889206,0.003552792826667428,0.005954003427177668,0.0055180542015781
probe_00006_spk07.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00006_spk07.wav,번호는 칠구사공입니다.,7940,,female,spk07,probe_cont_4,probe,1,1.68,4,1,4,sentence,continuous,0.010940497430662314,0.0028134671149347085,0.011781818233430386,0.007151969708502293,0.013887704350054264,0.010940497430662314
probe_00007_spk08.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00007_spk08.wav,번호는 이육오사입니다.,2654,,male,spk08,probe_cont_4,probe,1,1.76,4,1,4,sentence,continuous,0.02368155245979627,0.011354635512633394,0.024762431159615517,0.009266121312975883,0.03701610490679741,0.02368155245979627
probe_00008_spk09.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00008_spk09.wav,번호는 이삼오일입니다.,2351,,female,spk09,probe_cont_4,probe,1,1.6,4,1,4,sentence,continuous,0.011623550982524952,0.0029740840368569403,0.014300492592155933,0.007475587073713541,0.01309457328170538,0.011623550982524952
probe_00009_spk10.wav,/home/hye0n/projects/cnn-based-audio-pii-classification/src/cnn/data_probe/output/probe_00009_spk10.wav,번호는 일육일오입니다.,1615,,male,spk10,probe_cont_4,probe,1,2.24,4,1,4,sentence,continuous,0.01931538339704275,0.00814955887900021,0.015221795067191124,0.012031857855618,0.03069249726831913,0.01931538339704275
