filename,filepath,text,value,pii_type,gender,speaker_id,template_id,source_type,label,duration
negative_easy_00000_spk01.wav,output/negative_easy_00000_spk01.wav,커피 한잔하면서 잠깐 쉬었다 가시죠.,,,female,spk01,easy,negative_easy,0,2.96
negative_easy_00001_spk02.wav,output/negative_easy_00001_spk02.wav,발표 준비는 거의 다 끝나가고 있습니다.,,,male,spk02,easy,negative_easy,0,3.44
negative_easy_00002_spk03.wav,output/negative_easy_00002_spk03.wav,새로 산 책이 생각보다 훨씬 재미있었습니다.,,,female,spk03,easy,negative_easy,0,3.76
negative_easy_00003_spk04.wav,output/negative_easy_00003_spk04.wav,요즘 아침 저녁으로 날이 많이 쌀쌀해졌네요.,,,male,spk04,easy,negative_easy,0,3.28
negative_easy_00004_spk05.wav,output/negative_easy_00004_spk05.wav,운동을 꾸준히 하니 몸이 한결 가벼워졌어요.,,,female,spk05,easy,negative_easy,0,3.12
negative_easy_00005_spk06.wav,output/negative_easy_00005_spk06.wav,운동을 꾸준히 하니 몸이 한결 가벼워졌어요.,,,male,spk06,easy,negative_easy,0,4.24
negative_easy_00006_spk07.wav,output/negative_easy_00006_spk07.wav,오랜만에 친구를 만나서 즐거운 시간을 보냈어요.,,,female,spk07,easy,negative_easy,0,3.84
negative_easy_00007_spk08.wav,output/negative_easy_00007_spk08.wav,이번 프로젝트는 다음 주에 마무리될 예정입니다.,,,male,spk08,easy,negative_easy,0,3.68
negative_easy_00008_spk09.wav,output/negative_easy_00008_spk09.wav,회의 자료는 메일로 미리 보내드리겠습니다.,,,female,spk09,easy,negative_easy,0,3.04
negative_easy_00009_spk10.wav,output/negative_easy_00009_spk10.wav,이번 프로젝트는 다음 주에 마무리될 예정입니다.,,,male,spk10,easy,negative_easy,0,3.68
negative_easy_00010_spk11.wav,output/negative_easy_00010_spk11.wav,발표 준비는 거의 다 끝나가고 있습니다.,,,female,spk11,easy,negative_easy,0,3.76
negative_easy_00011_spk12.wav,output/negative_easy_00011_spk12.wav,커피 한잔하면서 잠깐 쉬었다 가시죠.,,,male,spk12,easy,negative_easy,0,2.4
