filename,filepath,text,phone,gender,voice,detect
x_00001_male.wav,output/x_00001_male.wav,가벼운 운동을 하고 나니 컨디션이 좋아졌습니다.,,male,ko-KR-HyunsuMultilingualNeural,0
x_00002_male.wav,output/x_00002_male.wav,"오늘은 육삼팔번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다.",,male,ko-KR-InJoonNeural,0
x_00003_male.wav,output/x_00003_male.wav,창문을 열어두니 바람이 시원하게 들어옵니다.,,male,ko-KR-HyunsuMultilingualNeural,0
x_00004_male.wav,output/x_00004_male.wav,저녁에는 가볍게 산책할 계획입니다.,,male,ko-KR-HyunsuMultilingualNeural,0
x_00005_male.wav,output/x_00005_male.wav,정리한 파일 이름을 보기 쉽게 바꾸었습니다.,,male,ko-KR-InJoonNeural,0
x_00006_male.wav,output/x_00006_male.wav,창문을 열어두니 바람이 시원하게 들어옵니다.,,male,ko-KR-InJoonNeural,0
x_00007_female.wav,output/x_00007_female.wav,물을 자주 마시려고 컵을 가까이 두었습니다.,,female,ko-KR-SunHiNeural,0
x_00008_male.wav,output/x_00008_male.wav,책상 위를 정리하니 마음이 한결 편해졌습니다.,,male,ko-KR-InJoonNeural,0
x_00009_male.wav,output/x_00009_male.wav,오늘은 일이월 이오일이라 일정표를 다시 확인했습니다.,,male,ko-KR-InJoonNeural,0
x_00010_male.wav,output/x_00010_male.wav,오늘 목표를 작게 나누니 부담이 줄었습니다.,,male,ko-KR-InJoonNeural,0
x_00011_male.wav,output/x_00011_male.wav,약속 시간은 일오시 이사분으로 잡아 두었습니다.,,male,ko-KR-InJoonNeural,0
x_00012_male.wav,output/x_00012_male.wav,창가에 둔 식물이 조금씩 자라고 있습니다.,,male,ko-KR-InJoonNeural,0
x_00013_male.wav,output/x_00013_male.wav,"오늘은 삼이육번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다.",,male,ko-KR-HyunsuMultilingualNeural,0
x_00014_male.wav,output/x_00014_male.wav,약속 시간은 칠시 오구분으로 잡아 두었습니다.,,male,ko-KR-HyunsuMultilingualNeural,0
